name,primary_hex,secondary_hex,accent_hex,emissive_hex,fog_hex,ambient_intensity,mood,style,best_for
Void Neon,#0a0a0f,#1a1a2e,#00f5ff,#00f5ff,#0d0d1a,0.15,electric,cyberpunk,dark tech products
Forge Fire,#1a0800,#3d1a00,#ff6b00,#ff3d00,#1a0a00,0.1,intense,industrial,manufacturing crypto
Arctic Glass,#e8f4f8,#c5dde8,#4fc3f7,#80d8ff,#d0e8f0,0.6,clean,glassmorphism,SaaS health
Obsidian Gold,#0d0d0d,#1a1a1a,#c9a84c,#f0c040,#111111,0.12,luxury,premium,fashion jewelry
Plasma Purple,#0c0015,#1a0030,#a855f7,#c084fc,#100020,0.1,mystical,neon-dark,gaming crypto
Terra Rust,#1c0f00,#3d2200,#c4622d,#e07840,#1a1000,0.2,warm,organic,architecture earth
Glacier White,#f0f5ff,#dce8ff,#6b8cff,#8fa8ff,#e8eeff,0.7,serene,minimal,fintech medical
Sulfur Acid,#0d1200,#1a2600,#aaff00,#88ff00,#0a1500,0.1,toxic,cyberpunk,gaming energy
Crimson Smoke,#150000,#300005,#e53935,#ff5252,#180000,0.1,danger,dramatic,security action
Aurora Teal,#001a1a,#003333,#00e5cc,#00ffcc,#001515,0.15,ethereal,iridescent,wellness AI
Solar Flare,#1a0500,#331000,#ff8c00,#ffb300,#150a00,0.15,energetic,warm-dark,sports fitness
Midnight Blue,#00050f,#000d1f,#1565c0,#1e88e5,#00060f,0.1,corporate,deep,enterprise finance
Sakura Haze,#1a000a,#330015,#f06292,#f48fb1,#150008,0.2,romantic,pastel-dark,beauty lifestyle
Tungsten,#111111,#1c1c1c,#9e9e9e,#bdbdbd,#141414,0.2,industrial,monochrome,portfolio minimal
Bioluminescent,#001a0d,#003320,#00e676,#69f0ae,#001510,0.1,organic,neon-green,biotech nature
Rust Patina,#0f0800,#1f1200,#8d6e63,#a1887f,#120a00,0.25,aged,earthy,heritage antique
Electric Indigo,#05001a,#0d0033,#651fff,#7c4dff,#060015,0.1,psychedelic,neon,music events
Desert Sand,#1a1000,#2e1f00,#d4a843,#e8c060,#18100a,0.3,warm,natural,travel outdoor
Glacial Mint,#001a15,#00332a,#00e5a0,#00ffb8,#001510,0.15,fresh,cool,health wellness
Chrome Dark,#0a0a0a,#141414,#607d8b,#90a4ae,#0d0d0d,0.2,metallic,sleek,auto tech
Rose Quartz,#1a000d,#330015,#e91e63,#f06292,#150008,0.2,passionate,jewel,fashion beauty
Phosphor Green,#000d00,#001a00,#00e800,#76ff03,#000f00,0.05,retro,terminal,hacker developer
Amber Resin,#1a0d00,#331a00,#ff8f00,#ffb300,#150a00,0.2,warm,organic,food craft
Deep Ocean,#000a1a,#001433,#006064,#0097a7,#000c1a,0.1,mysterious,gradient-deep,maritime science
Nebula Pink,#0f000f,#1f001f,#e040fb,#ea80fc,#120010,0.1,cosmic,iridescent,space beauty
Copper Verdigris,#001a0f,#003320,#00897b,#26a69a,#001510,0.2,aged-metal,industrial,finance portfolio
Blood Moon,#1a0000,#330000,#b71c1c,#e53935,#150000,0.05,ominous,dark,horror gaming
Holographic,#050515,#0d0d25,#7986cb,#9fa8da,#080818,0.15,futuristic,iridescent,fashion tech
Lava Flow,#1a0500,#330a00,#dd2c00,#ff6e40,#150400,0.1,volcanic,dramatic,energy action
Soft Dusk,#1a0a0f,#2e1520,#b388ff,#ce93d8,#150a12,0.2,dreamy,pastel-dark,wellness creative
Ivory Circuit,#0f0f08,#1f1f10,#fff176,#ffee58,#121208,0.15,warm-tech,elegant,luxury architecture
Matrix Code,#000d00,#001500,#00c853,#69f0ae,#000f00,0.05,hacker,terminal,developer tools
Moonstone,#0a0a12,#15152a,#b0bec5,#eceff1,#0d0d18,0.15,ethereal,minimal,portfolio design
Volcano,#150000,#280500,#ff3d00,#ff6d00,#120000,0.1,intense,dramatic,gaming sports
Seafoam Abyss,#001515,#002a2a,#00acc1,#26c6da,#001212,0.15,oceanic,gradient,travel marine
Polished Onyx,#080808,#101010,#424242,#757575,#0a0a0a,0.1,minimal,dark-luxury,premium brand
Tangerine Blaze,#1a0800,#331500,#f4511e,#ff7043,#150700,0.15,vibrant,warm,food startup
Ultraviolet,#050010,#0d0020,#aa00ff,#d500f9,#060012,0.08,cosmic,neon,music nightlife
Haze Lavender,#0d0015,#1a002a,#9c27b0,#ba68c8,#0a0012,0.15,mystical,soft,beauty wellness
Concrete Jungle,#0d0d0d,#1a1a1a,#78909c,#b0bec5,#111111,0.2,urban,brutalist,architecture real-estate
Steel Sunrise,#001020,#00162d,#0288d1,#29b6f6,#000f1a,0.15,optimistic,corporate,fintech startup
Bioluminescent Deep,#00050f,#000a1f,#00b8d4,#00e5ff,#000610,0.1,scientific,glow,biotech research
Magma Core,#0f0000,#1f0000,#c62828,#ef5350,#120000,0.08,volcanic,intense,gaming energy
Golden Hour,#1a1000,#2e1f00,#f9a825,#fdd835,#18100a,0.25,nostalgic,warm,travel lifestyle
Mint Circuit,#001a10,#003320,#00c853,#b9f6ca,#001512,0.2,fresh-tech,clean,health fintech
Starfield,#00000f,#00001f,#3949ab,#5c6bc0,#000012,0.05,cosmic,deep-space,sci-fi space
Arctic Aurora,#001020,#001f33,#00e5ff,#84ffff,#000f1a,0.1,polar,vivid,travel tech
Rust Belt,#120800,#221200,#795548,#a1887f,#100700,0.2,industrial,worn,manufacturing heritage
Liquid Metal,#0a0a0a,#151515,#78909c,#cfd8dc,#0d0d0d,0.15,metallic,sleek,automotive tech
Coral Reef,#001a0a,#003315,#ff6f61,#ff8a65,#001510,0.2,tropical,vibrant,travel leisure
Phantom Teal,#001a15,#002a22,#00897b,#4db6ac,#001510,0.15,ghost,cool,SaaS security
Sage Minimal,#0d1200,#1a2600,#8bc34a,#c5e1a5,#0a1200,0.3,natural,organic,wellness food
Glitch RGB,#050010,#0a0020,#ff0055,#00ffcc,#060012,0.1,glitch,vaporwave,art gaming
Deep Amber,#1a0d00,#301800,#e65100,#ff6d00,#150a00,0.15,rich,warm,food premium
Nebula Blue,#00050f,#000a1f,#1a237e,#283593,#000610,0.1,cosmic,deep,space tech
Ice Cave,#e8f4f8,#c5dde8,#80d8ff,#b3e5fc,#d5eaf5,0.6,cold,crystalline,tech minimal
Carbon Fiber,#0a0a0a,#111111,#212121,#424242,#0d0d0d,0.15,premium,dark,auto sports
Bioluminescent Coral,#001a10,#003325,#f4511e,#ff7043,#001510,0.15,contrast,vivid,gaming design
Infrared,#0f0000,#200000,#ff1744,#ff616f,#120000,0.08,hot,intense,security alert
Midnight Orchid,#0a0015,#15002a,#7b1fa2,#9c27b0,#0c0018,0.1,mysterious,jewel,beauty fashion
Desert Dusk,#1a1000,#2e1f00,#ff7043,#ffab91,#18100a,0.2,sunset,warm,travel outdoor
Quantum Foam,#050515,#0d0d25,#00b0ff,#80d8ff,#080818,0.15,scientific,electric,tech AI
Tundra Frost,#e0f0f5,#c0dde8,#b0bec5,#cfd8dc,#d5e8f0,0.65,cold,minimal,healthcare medical
Phosphorescent,#001a0a,#003315,#76ff03,#ccff90,#001210,0.05,radioactive,neon,gaming energy
Electric Sunset,#1a0500,#301000,#ff6f00,#ff8f00,#150400,0.15,vibrant,warm,creative art
Nuclear Teal,#001a1a,#002a2a,#00e5cc,#1de9b6,#001515,0.1,hazard,neon,gaming tech
Pewter Mist,#0f0f12,#1a1a20,#78909c,#90a4ae,#121215,0.2,subtle,sophisticated,enterprise design
Carnival,#0f0000,#1f0010,#f50057,#ff4081,#120000,0.15,festive,vivid,entertainment events
Deep Vine,#0a1500,#152200,#2e7d32,#43a047,#0c1800,0.2,natural,dark,nature environment
Bismuth Crystal,#050515,#0d0d25,#e040fb,#7986cb,#080818,0.15,prismatic,iridescent,art design
Carbon Glow,#080808,#111111,#ff8f00,#ffa000,#0a0a0a,0.1,premium,warm-dark,luxury automotive
Spectral Blue,#00050f,#000a1f,#0d47a1,#1565c0,#000610,0.1,deep,corporate,finance enterprise
Ice Shelf,#e5eff5,#c8dce8,#4dd0e1,#80deea,#d8ebf2,0.65,polar,clean,health wellness
Ghost Signal,#050515,#0d0d25,#e8eaf6,#c5cae9,#080818,0.1,ethereal,dark,portfolio design
Fossil Amber,#1a1000,#2e1f00,#bf8a3d,#d4a843,#18100a,0.25,ancient,warm,museum heritage
